"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Generation of Electricity by Sector","30-Apr-2024","TS_GP_RLS_ELECGEN_M.E_003000","......2 Electricity Generation by Coal","901.733","GWh","Normal","","30","Electricity Generation by Coal"
"Generation of Electricity by Sector","30-Apr-2024","TS_GP_RLS_ELECGEN_M.E_004000","......3 Electricity Generation by High Speed Diesel (HSD)","0","GWh","Normal","","40","Electricity Generation by High Speed Diesel (HSD)"
"Generation of Electricity by Sector","30-Apr-2024","TS_GP_RLS_ELECGEN_M.E_005000","......4 Electricity Generation by Residual Fuel Oil (RFO)",".005","GWh","Normal","","50","Electricity Generation by Residual Fuel Oil (RFO)"
"Generation of Electricity by Sector","30-Apr-2024","TS_GP_RLS_ELECGEN_M.E_006000","......5 Electricity Generation by Gas","974.751","GWh","Normal","","60","Electricity Generation by Gas"
"Generation of Electricity by Sector","30-Apr-2024","TS_GP_RLS_ELECGEN_M.E_007000","......6 Electricity Generation by Regasification Liquefied Natural Gas(RLNG)","2157.171","GWh","Normal","","70","Electricity Generation by Regasification Liquefied Natural Gas(RLNG)"
"Generation of Electricity by Sector","30-Apr-2024","TS_GP_RLS_ELECGEN_M.E_008000","......7 Electricity Generation by Nuclear","2042.656","GWh","Normal","","80","Electricity Generation by Nuclear"
"Generation of Electricity by Sector","30-Apr-2024","TS_GP_RLS_ELECGEN_M.E_009000","......8 Electricity imported from Iran","37.094","GWh","Normal","","90","Electricity Imported from Iran"
"Generation of Electricity by Sector","30-Apr-2024","TS_GP_RLS_ELECGEN_M.E_010000","......9 Electricity Generation by Mixed","0","GWh","Normal","","100","Electricity Generation by Mixed"
"Generation of Electricity by Sector","30-Apr-2024","TS_GP_RLS_ELECGEN_M.E_011000","......10 Electricity Generation by Wind","286.976","GWh","Normal","","110","Electricity Generation by Wind"
"Generation of Electricity by Sector","30-Apr-2024","TS_GP_RLS_ELECGEN_M.E_012000","......11 Electricity Generation by bagasse","55.85","GWh","Normal","","120","Electricity Generation by bagasse"
"Generation of Electricity by Sector","30-Apr-2024","TS_GP_RLS_ELECGEN_M.E_013000","......12 Electricity Generation by Solar","112.747","GWh","Normal","","130","Electricity Generation by Solar"
"Generation of Electricity by Sector","31-Mar-2024","TS_GP_RLS_ELECGEN_M.E_001000",". Total Electricity Generation by all Sources","8023.26","GWh","Normal","","10","Total Electricity Generation by all sources"
"Generation of Electricity by Sector","31-Mar-2024","TS_GP_RLS_ELECGEN_M.E_002000","......1 Electricity Generation by Hydel","2216.808","GWh","Normal","","20","Electricity Generation by Hydel"
"Generation of Electricity by Sector","31-Mar-2024","TS_GP_RLS_ELECGEN_M.E_003000","......2 Electricity Generation by Coal","861.773","GWh","Normal","","30","Electricity Generation by Coal"
"Generation of Electricity by Sector","31-Mar-2024","TS_GP_RLS_ELECGEN_M.E_004000","......3 Electricity Generation by High Speed Diesel (HSD)","0","GWh","Normal","","40","Electricity Generation by High Speed Diesel (HSD)"
"Generation of Electricity by Sector","31-Mar-2024","TS_GP_RLS_ELECGEN_M.E_005000","......4 Electricity Generation by Residual Fuel Oil (RFO)","0","GWh","Normal","","50","Electricity Generation by Residual Fuel Oil (RFO)"
"Generation of Electricity by Sector","31-Mar-2024","TS_GP_RLS_ELECGEN_M.E_006000","......5 Electricity Generation by Gas","795.076","GWh","Normal","","60","Electricity Generation by Gas"
"Generation of Electricity by Sector","31-Mar-2024","TS_GP_RLS_ELECGEN_M.E_007000","......6 Electricity Generation by Regasification Liquefied Natural Gas(RLNG)","1658.442","GWh","Normal","","70","Electricity Generation by Regasification Liquefied Natural Gas(RLNG)"
"Generation of Electricity by Sector","31-Mar-2024","TS_GP_RLS_ELECGEN_M.E_008000","......7 Electricity Generation by Nuclear","2069.6","GWh","Normal","","80","Electricity Generation by Nuclear"
"Generation of Electricity by Sector","31-Mar-2024","TS_GP_RLS_ELECGEN_M.E_009000","......8 Electricity imported from Iran","28.377","GWh","Normal","","90","Electricity Imported from Iran"
"Generation of Electricity by Sector","31-Mar-2024","TS_GP_RLS_ELECGEN_M.E_010000","......9 Electricity Generation by Mixed","0","GWh","Normal","","100","Electricity Generation by Mixed"
"Generation of Electricity by Sector","31-Mar-2024","TS_GP_RLS_ELECGEN_M.E_011000","......10 Electricity Generation by Wind","204.7","GWh","Normal","","110","Electricity Generation by Wind"
"Generation of Electricity by Sector","31-Mar-2024","TS_GP_RLS_ELECGEN_M.E_012000","......11 Electricity Generation by bagasse","78.5","GWh","Normal","","120","Electricity Generation by bagasse"
"Generation of Electricity by Sector","31-Mar-2024","TS_GP_RLS_ELECGEN_M.E_013000","......12 Electricity Generation by Solar","109.984","GWh","Normal","","130","Electricity Generation by Solar"
"Generation of Electricity by Sector","29-Feb-2024","TS_GP_RLS_ELECGEN_M.E_001000",". Total Electricity Generation by all Sources","7116.046","GWh","Normal","","10","Total Electricity Generation by all sources"
"Generation of Electricity by Sector","29-Feb-2024","TS_GP_RLS_ELECGEN_M.E_002000","......1 Electricity Generation by Hydel","1766.293","GWh","Normal","","20","Electricity Generation by Hydel"
"Generation of Electricity by Sector","29-Feb-2024","TS_GP_RLS_ELECGEN_M.E_003000","......2 Electricity Generation by Coal","1128.704","GWh","Normal","","30","Electricity Generation by Coal"
"Generation of Electricity by Sector","29-Feb-2024","TS_GP_RLS_ELECGEN_M.E_004000","......3 Electricity Generation by High Speed Diesel (HSD)","0","GWh","Normal","","40","Electricity Generation by High Speed Diesel (HSD)"
"Generation of Electricity by Sector","29-Feb-2024","TS_GP_RLS_ELECGEN_M.E_005000","......4 Electricity Generation by Residual Fuel Oil (RFO)","0","GWh","Normal","","50","Electricity Generation by Residual Fuel Oil (RFO)"
"Generation of Electricity by Sector","29-Feb-2024","TS_GP_RLS_ELECGEN_M.E_006000","......5 Electricity Generation by Gas","787.007","GWh","Normal","","60","Electricity Generation by Gas"
"Generation of Electricity by Sector","29-Feb-2024","TS_GP_RLS_ELECGEN_M.E_007000","......6 Electricity Generation by Regasification Liquefied Natural Gas(RLNG)","1449.609","GWh","Normal","","70","Electricity Generation by Regasification Liquefied Natural Gas(RLNG)"
"Generation of Electricity by Sector","29-Feb-2024","TS_GP_RLS_ELECGEN_M.E_008000","......7 Electricity Generation by Nuclear","1660.245","GWh","Normal","","80","Electricity Generation by Nuclear"
"Generation of Electricity by Sector","29-Feb-2024","TS_GP_RLS_ELECGEN_M.E_009000","......8 Electricity imported from Iran","25.657","GWh","Normal","","90","Electricity Imported from Iran"
"Generation of Electricity by Sector","29-Feb-2024","TS_GP_RLS_ELECGEN_M.E_010000","......9 Electricity Generation by Mixed","0","GWh","Normal","","100","Electricity Generation by Mixed"
"Generation of Electricity by Sector","29-Feb-2024","TS_GP_RLS_ELECGEN_M.E_011000","......10 Electricity Generation by Wind","107.828","GWh","Normal","","110","Electricity Generation by Wind"
"Generation of Electricity by Sector","29-Feb-2024","TS_GP_RLS_ELECGEN_M.E_012000","......11 Electricity Generation by bagasse","100.532","GWh","Normal","","120","Electricity Generation by bagasse"
"Generation of Electricity by Sector","29-Feb-2024","TS_GP_RLS_ELECGEN_M.E_013000","......12 Electricity Generation by Solar","90.173","GWh","Normal","","130","Electricity Generation by Solar"
"Generation of Electricity by Sector","31-Jan-2024","TS_GP_RLS_ELECGEN_M.E_001000",". Total Electricity Generation by all Sources","8313.733","GWh","Normal","","10","Total Electricity Generation by all sources"
"Generation of Electricity by Sector","31-Jan-2024","TS_GP_RLS_ELECGEN_M.E_002000","......1 Electricity Generation by Hydel","924.215","GWh","Normal","","20","Electricity Generation by Hydel"
"Generation of Electricity by Sector","31-Jan-2024","TS_GP_RLS_ELECGEN_M.E_003000","......2 Electricity Generation by Coal","1948.933","GWh","Normal","","30","Electricity Generation by Coal"
"Generation of Electricity by Sector","31-Jan-2024","TS_GP_RLS_ELECGEN_M.E_004000","......3 Electricity Generation by High Speed Diesel (HSD)","101.674","GWh","Normal","","40","Electricity Generation by High Speed Diesel (HSD)"
"Generation of Electricity by Sector","31-Jan-2024","TS_GP_RLS_ELECGEN_M.E_005000","......4 Electricity Generation by Residual Fuel Oil (RFO)","750.423","GWh","Normal","","50","Electricity Generation by Residual Fuel Oil (RFO)"
"Generation of Electricity by Sector","31-Jan-2024","TS_GP_RLS_ELECGEN_M.E_006000","......5 Electricity Generation by Gas","1035.368","GWh","Normal","","60","Electricity Generation by Gas"
"Generation of Electricity by Sector","31-Jan-2024","TS_GP_RLS_ELECGEN_M.E_007000","......6 Electricity Generation by Regasification Liquefied Natural Gas(RLNG)","1514.375","GWh","Normal","","70","Electricity Generation by Regasification Liquefied Natural Gas(RLNG)"
"Generation of Electricity by Sector","31-Jan-2024","TS_GP_RLS_ELECGEN_M.E_008000","......7 Electricity Generation by Nuclear","1727.801","GWh","Normal","","80","Electricity Generation by Nuclear"
"Generation of Electricity by Sector","31-Jan-2024","TS_GP_RLS_ELECGEN_M.E_009000","......8 Electricity imported from Iran","29.086","GWh","Normal","","90","Electricity Imported from Iran"
"Generation of Electricity by Sector","31-Jan-2024","TS_GP_RLS_ELECGEN_M.E_010000","......9 Electricity Generation by Mixed","0","GWh","Normal","","100","Electricity Generation by Mixed"
"Generation of Electricity by Sector","31-Jan-2024","TS_GP_RLS_ELECGEN_M.E_011000","......10 Electricity Generation by Wind","127.553","GWh","Normal","","110","Electricity Generation by Wind"
"Generation of Electricity by Sector","31-Jan-2024","TS_GP_RLS_ELECGEN_M.E_012000","......11 Electricity Generation by bagasse","106.368","GWh","Normal","","120","Electricity Generation by bagasse"
"Generation of Electricity by Sector","31-Jan-2024","TS_GP_RLS_ELECGEN_M.E_013000","......12 Electricity Generation by Solar","47.936","GWh","Normal","","130","Electricity Generation by Solar"
"Generation of Electricity by Sector","31-Dec-2023","TS_GP_RLS_ELECGEN_M.E_001000",". Total Electricity Generation by all Sources","8416.807","GWh","Normal","","10","Total Electricity Generation by all sources"
"Generation of Electricity by Sector","31-Dec-2023","TS_GP_RLS_ELECGEN_M.E_002000","......1 Electricity Generation by Hydel","1720.429","GWh","Normal","","20","Electricity Generation by Hydel"
"Generation of Electricity by Sector","31-Dec-2023","TS_GP_RLS_ELECGEN_M.E_003000","......2 Electricity Generation by Coal","1520.927","GWh","Normal","","30","Electricity Generation by Coal"
"Generation of Electricity by Sector","31-Dec-2023","TS_GP_RLS_ELECGEN_M.E_004000","......3 Electricity Generation by High Speed Diesel (HSD)","0","GWh","Normal","","40","Electricity Generation by High Speed Diesel (HSD)"
"Generation of Electricity by Sector","31-Dec-2023","TS_GP_RLS_ELECGEN_M.E_005000","......4 Electricity Generation by Residual Fuel Oil (RFO)","38.913","GWh","Normal","","50","Electricity Generation by Residual Fuel Oil (RFO)"
